"DATE","HG80M1","HG80M2","HG80M3","HG80M4","HG80M5","HG80M6","HG80M7","HG80M8","HG80M9","HG80M10","HG80M11","HG80M12","HG81M1","HG81M2","HG81M3","HG81M4","HG81M5","HG81M6","HG81M7","HG81M8","HG81M9","HG81M10","HG81M11","HG81M12","HG82M1","HG82M2","HG82M3","HG82M4","HG82M5","HG82M6","HG82M7","HG82M8","HG82M9","HG82M10","HG82M11","HG82M12","HG83M1","HG83M2","HG83M3","HG83M4","HG83M5","HG83M6","HG83M7","HG83M8","HG83M9","HG83M10","HG83M11","HG83M12","HG84M1","HG84M2","HG84M3","HG84M4","HG84M5","HG84M6","HG84M7","HG84M8","HG84M9","HG84M10","HG84M11","HG84M12","HG85M1","HG85M2","HG85M3","HG85M4","HG85M5","HG85M6","HG85M7","HG85M8","HG85M9","HG85M10","HG85M11","HG85M12","HG86M1","HG86M2","HG86M3","HG86M4","HG86M5","HG86M6","HG86M7","HG86M8","HG86M9","HG86M10","HG86M11","HG86M12","HG87M1","HG87M2","HG87M3","HG87M4","HG87M5","HG87M6","HG87M7","HG87M8","HG87M9","HG87M10","HG87M11","HG87M12","HG88M1","HG88M2","HG88M3","HG88M4","HG88M5","HG88M6","HG88M7","HG88M8","HG88M9","HG88M10","HG88M11","HG88M12","HG89M1","HG89M2","HG89M3","HG89M4","HG89M5","HG89M6","HG89M7","HG89M8","HG89M9","HG89M10","HG89M11","HG89M12"
"1949:02","84.8","84.8","84.8","84.8","84.8","84.8","84.8","84.8","84.8","84.8","84.8","84.8","84.8","84.8","84.8","84.8","84.8","84.8","84.3","84.3","84.3","84.3","84.3","84.3","84.3","84.3","84.3","84.3","84.3","84.3","84.3","84.3","84.3","84.3","84.3","84.3","84.3","84.3","84.3","84.3","84.3","84.3","84.3","84.3","84.3","84.3","84.3","84.3","84.3","84.3","84.3","84.3","84.3","84.3","84.3","84.3","84.3","84.3","84.3","84.3","84.3","84.3","84.3","84.3","84.3","84.3","84.3","84.3","84.3","84.3","84.3","84.3","84.3","84.3","84.3","84.3","84.3","84.3","84.3","84.3","84.3","84.3","84.3","84.3","84.3","84.3","84.3","84.3","84.3","84.3","84.3","84.3","84.3","84.3","84.3","84.3","84.3","84.3","84.3","84.3","84.3","84.3","84.3","84.3","84.3","84.3","84.3","84.3","84.3","84.3","84.3","84.3","84.3","84.3","84.3","84.3","84.3","84.3","84.3","84.3"
"1949:03","82.9","82.9","82.9","82.9","82.9","82.9","82.9","82.9","82.9","82.9","82.9","82.9","82.9","82.9","82.9","82.9","82.9","82.9","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5"
"1949:04","81.2","81.2","81.2","81.2","81.2","81.2","81.2","81.2","81.2","81.2","81.2","81.2","81.2","81.2","81.2","81.2","81.2","81.2","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8"
"1949:05","80.0","80.0","80.0","80.0","80.0","80.0","80.0","80.0","80.0","80.0","80.0","80.0","80.0","80.0","80.0","80.0","80.0","80.0","79.6","79.6","79.6","79.6","79.6","79.6","79.6","79.6","79.6","79.6","79.6","79.6","79.6","79.6","79.6","79.6","79.6","79.6","79.6","79.6","79.6","79.6","79.6","79.6","79.6","79.6","79.6","79.6","79.6","79.6","79.6","79.6","79.6","79.6","79.6","79.6","79.6","79.6","79.6","79.6","79.6","79.6","79.6","79.6","79.6","79.6","79.6","79.6","79.6","79.6","79.6","79.6","79.6","79.6","79.6","79.6","79.6","79.6","79.6","79.6","79.6","79.6","79.6","79.6","79.6","79.6","79.6","79.6","79.6","79.6","79.6","79.6","79.6","79.6","79.6","79.6","79.6","79.6","79.6","79.6","79.6","79.6","79.6","79.6","79.6","79.6","79.6","79.6","79.6","79.6","79.6","79.6","79.6","79.6","79.6","79.6","79.6","79.6","79.6","79.6","79.6","79.6"
"1949:06","78.9","78.9","78.9","78.9","78.9","78.9","78.9","78.9","78.9","78.9","78.9","78.9","78.9","78.9","78.9","78.9","78.9","78.9","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5"
"1949:07","78.9","78.9","78.9","78.9","78.9","78.9","78.9","78.9","78.9","78.9","78.9","78.9","78.9","78.9","78.9","78.9","78.9","78.9","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5"
"1949:08","78.7","78.7","78.7","78.7","78.7","78.7","78.7","78.7","78.7","78.7","78.7","78.7","78.7","78.7","78.7","78.7","78.7","78.7","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.3","78.3"
"1949:09","79.9","79.9","79.9","79.9","79.9","79.9","79.9","79.9","79.9","79.9","79.9","79.9","79.9","79.9","79.9","79.9","79.9","79.9","79.5","79.5","79.5","79.5","79.5","79.5","79.5","79.5","79.5","79.5","79.5","79.5","79.5","79.5","79.5","79.5","79.5","79.5","79.5","79.5","79.5","79.5","79.5","79.5","79.5","79.5","79.5","79.5","79.5","79.5","79.5","79.5","79.5","79.5","79.5","79.5","79.5","79.5","79.5","79.5","79.5","79.5","79.5","79.5","79.5","79.5","79.5","79.5","79.5","79.5","79.5","79.5","79.5","79.5","79.5","79.5","79.5","79.5","79.5","79.5","79.5","79.5","79.5","79.5","79.5","79.5","79.5","79.5","79.5","79.5","79.5","79.5","79.5","79.5","79.5","79.5","79.5","79.5","79.5","79.5","79.5","79.5","79.5","79.5","79.5","79.5","79.5","79.5","79.5","79.5","79.5","79.5","79.5","79.5","79.5","79.5","79.5","79.5","79.5","79.5","79.5","79.5"
"1949:10","76.7","76.7","76.7","76.7","76.7","76.7","76.7","76.7","76.7","76.7","76.7","76.7","76.7","76.7","76.7","76.7","76.7","76.7","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3"
"1949:11","77.9","77.9","77.9","77.9","77.9","77.9","77.9","77.9","77.9","77.9","77.9","77.9","77.9","77.9","77.9","77.9","77.9","77.9","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5"
"1949:12","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1"
"1950:01","79.5","79.5","79.5","79.5","79.5","79.5","79.5","79.5","79.5","79.5","79.5","79.5","79.5","79.5","79.5","79.5","79.5","79.5","79.1","79.1","79.1","79.1","79.1","79.1","79.1","79.1","79.1","79.1","79.1","79.1","79.1","79.1","79.1","79.1","79.1","79.1","79.1","79.1","79.1","79.1","79.1","79.1","79.1","79.1","79.1","79.1","79.1","79.1","79.1","79.1","79.1","79.1","79.1","79.1","79.1","79.1","79.1","79.1","79.1","79.1","79.1","79.1","79.1","79.1","79.1","79.1","79.1","79.1","79.1","79.1","79.1","79.1","79.1","79.1","79.1","79.1","79.1","79.1","79.1","79.1","79.1","79.1","79.1","79.1","79.1","79.1","79.1","79.1","79.1","79.1","79.1","79.1","79.1","79.1","79.1","79.1","79.1","79.1","79.1","79.1","79.1","79.1","79.1","79.1","79.1","79.1","79.1","79.1","79.1","79.1","79.1","79.1","79.1","79.1","79.1","79.1","79.1","79.1","79.1","79.1"
"1950:02","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1"
"1950:03","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.5","81.1","81.1","81.1","81.1","81.1","81.1","81.1","81.1","81.1","81.1","81.1","81.1","81.1","81.1","81.1","81.1","81.1","81.1","81.1","81.1","81.1","81.1","81.1","81.1","81.1","81.1","81.1","81.1","81.1","81.1","81.1","81.1","81.1","81.1","81.1","81.1","81.1","81.1","81.1","81.1","81.1","81.1","81.1","81.1","81.1","81.1","81.1","81.1","81.1","81.1","81.1","81.1","81.1","81.1","81.1","81.1","81.1","81.1","81.1","81.1","81.1","81.1","81.1","81.1","81.1","81.1","81.1","81.1","81.1","81.1","81.1","81.1","81.1","81.1","81.1","81.1","81.1","81.1","81.1","81.1","81.1","81.1","81.1","81.1","81.1","81.1","81.1","81.1","81.1","81.1","81.1","81.1","81.1","81.1","81.1","81.1","81.1","81.1","81.1","81.1","81.1","81.1"
"1950:04","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.4","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0","83.0"
"1950:05","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0","85.0"
"1950:06","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","87.3","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8","86.8"
"1950:07","89.2","89.2","89.2","89.2","89.2","89.2","89.2","89.2","89.2","89.2","89.2","89.2","89.2","89.2","89.2","89.2","89.2","89.2","88.8","88.8","88.8","88.8","88.8","88.8","88.8","88.8","88.8","88.8","88.8","88.8","88.8","88.8","88.8","88.8","88.8","88.8","88.8","88.8","88.8","88.8","88.8","88.8","88.8","88.8","88.8","88.8","88.8","88.8","88.8","88.8","88.8","88.8","88.8","88.8","88.8","88.8","88.8","88.8","88.8","88.8","88.8","88.8","88.8","88.8","88.8","88.8","88.8","88.8","88.8","88.8","88.8","88.8","88.8","88.8","88.8","88.8","88.8","88.8","88.8","88.8","88.8","88.8","88.8","88.8","88.8","88.8","88.8","88.8","88.8","88.8","88.8","88.8","88.8","88.8","88.8","88.8","88.8","88.8","88.8","88.8","88.8","88.8","88.8","88.8","88.8","88.8","88.8","88.8","88.8","88.8","88.8","88.8","88.8","88.8","88.8","88.8","88.8","88.8","88.8","88.8"
"1950:08","91.9","91.9","91.9","91.9","91.9","91.9","91.9","91.9","91.9","91.9","91.9","91.9","91.9","91.9","91.9","91.9","91.9","91.9","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4"
"1950:09","91.8","91.8","91.8","91.8","91.8","91.8","91.8","91.8","91.8","91.8","91.8","91.8","91.8","91.8","91.8","91.8","91.8","91.8","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4","91.4"
"1950:10","93.4","93.4","93.4","93.4","93.4","93.4","93.4","93.4","93.4","93.4","93.4","93.4","93.4","93.4","93.4","93.4","93.4","93.4","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9"
"1950:11","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","94.0","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6"
"1950:12","93.4","93.4","93.4","93.4","93.4","93.4","93.4","93.4","93.4","93.4","93.4","93.4","93.4","93.4","93.4","93.4","93.4","93.4","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9"
"1951:01","94.9","94.9","94.9","94.9","94.9","94.9","94.9","94.9","94.9","94.9","94.9","94.9","94.9","94.9","94.9","94.9","94.9","94.9","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4"
"1951:02","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","95.2","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7","94.7"
"1951:03","95.8","95.8","95.8","95.8","95.8","95.8","95.8","95.8","95.8","95.8","95.8","95.8","95.8","95.8","95.8","95.8","95.8","95.8","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3","95.3"
"1951:04","96.7","96.7","96.7","96.7","96.7","96.7","96.7","96.7","96.7","96.7","96.7","96.7","96.7","96.7","96.7","96.7","96.7","96.7","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2"
