"DATE","POP98M11","POP98M12","POP99M1","POP99M2","POP99M3","POP99M4","POP99M5","POP99M6","POP99M7","POP99M8","POP99M9","POP99M10","POP99M11","POP99M12","POP00M1","POP00M2","POP00M3","POP00M4","POP00M5","POP00M6","POP00M7","POP00M8","POP00M9","POP00M10","POP00M11","POP00M12","POP01M1","POP01M2","POP01M3","POP01M4","POP01M5","POP01M6","POP01M7","POP01M8","POP01M9","POP01M10","POP01M11","POP01M12","POP02M1","POP02M2","POP02M3","POP02M4","POP02M5","POP02M6","POP02M7","POP02M8","POP02M9","POP02M10","POP02M11","POP02M12","POP03M1","POP03M2","POP03M3","POP03M4","POP03M5","POP03M6","POP03M7","POP03M8","POP03M9","POP03M10","POP03M11","POP03M12","POP04M1","POP04M2","POP04M3","POP04M4","POP04M5","POP04M6","POP04M7","POP04M8","POP04M9","POP04M10","POP04M11","POP04M12","POP05M1","POP05M2","POP05M3","POP05M4","POP05M5","POP05M6","POP05M7","POP05M8","POP05M9","POP05M10","POP05M11","POP05M12","POP06M1","POP06M2","POP06M3","POP06M4","POP06M5","POP06M6","POP06M7","POP06M8","POP06M9","POP06M10","POP06M11","POP06M12","POP07M1","POP07M2","POP07M3","POP07M4","POP07M5","POP07M6","POP07M7","POP07M8","POP07M9","POP07M10","POP07M11","POP07M12","POP08M1","POP08M2","POP08M3","POP08M4","POP08M5","POP08M6","POP08M7","POP08M8","POP08M9","POP08M10","POP08M11","POP08M12","POP09M1","POP09M2","POP09M3","POP09M4","POP09M5","POP09M6","POP09M7","POP09M8","POP09M9","POP09M10","POP09M11","POP09M12","POP10M1","POP10M2","POP10M3","POP10M4","POP10M5","POP10M6","POP10M7","POP10M8","POP10M9","POP10M10","POP10M11","POP10M12","POP11M1","POP11M2","POP11M3","POP11M4","POP11M5","POP11M6","POP11M7","POP11M8","POP11M9","POP11M10","POP11M11","POP11M12","POP12M1","POP12M2","POP12M3","POP12M4","POP12M5","POP12M6","POP12M7","POP12M8","POP12M9","POP12M10","POP12M11","POP12M12","POP13M1","POP13M2","POP13M3","POP13M4","POP13M5","POP13M6","POP13M7","POP13M8","POP13M9","POP13M10","POP13M11","POP13M12","POP14M1","POP14M2","POP14M3","POP14M4","POP14M5","POP14M6","POP14M7","POP14M8","POP14M9","POP14M10","POP14M11","POP14M12","POP15M1","POP15M2","POP15M3","POP15M4","POP15M5"
"1947:11","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"1947:12","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"1948:01","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0","102603.0"
"1948:02","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0","102698.0"
"1948:03","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0","102771.0"
"1948:04","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0","102831.0"
"1948:05","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0","102923.0"
"1948:06","103021.0","103021.0","103021.0","103021.0","103021.0","103021.0","103021.0","103021.0","103021.0","103021.0","103021.0","103021.0","103021.0","103021.0","103021.0","103021.0","103021.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0","102992.0"
"1948:07","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0","103216.0"
"1948:08","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0","103240.0"
"1948:09","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0","103291.0"
"1948:10","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0","103361.0"
