"DATE","EMPLOY90M1","EMPLOY90M2","EMPLOY90M3","EMPLOY90M4","EMPLOY90M5","EMPLOY90M6","EMPLOY90M7","EMPLOY90M8","EMPLOY90M9","EMPLOY90M10","EMPLOY90M11","EMPLOY90M12","EMPLOY91M1","EMPLOY91M2","EMPLOY91M3","EMPLOY91M4","EMPLOY91M5","EMPLOY91M6","EMPLOY91M7","EMPLOY91M8","EMPLOY91M9","EMPLOY91M10","EMPLOY91M11","EMPLOY91M12","EMPLOY92M1","EMPLOY92M2","EMPLOY92M3","EMPLOY92M4","EMPLOY92M5","EMPLOY92M6","EMPLOY92M7","EMPLOY92M8","EMPLOY92M9","EMPLOY92M10","EMPLOY92M11","EMPLOY92M12","EMPLOY93M1","EMPLOY93M2","EMPLOY93M3","EMPLOY93M4","EMPLOY93M5","EMPLOY93M6","EMPLOY93M7","EMPLOY93M8","EMPLOY93M9","EMPLOY93M10","EMPLOY93M11","EMPLOY93M12","EMPLOY94M1","EMPLOY94M2","EMPLOY94M3","EMPLOY94M4","EMPLOY94M5","EMPLOY94M6","EMPLOY94M7","EMPLOY94M8","EMPLOY94M9","EMPLOY94M10","EMPLOY94M11","EMPLOY94M12","EMPLOY95M1","EMPLOY95M2","EMPLOY95M3","EMPLOY95M4","EMPLOY95M5","EMPLOY95M6","EMPLOY95M7","EMPLOY95M8","EMPLOY95M9","EMPLOY95M10","EMPLOY95M11","EMPLOY95M12","EMPLOY96M1","EMPLOY96M2","EMPLOY96M3","EMPLOY96M4","EMPLOY96M5","EMPLOY96M6","EMPLOY96M7","EMPLOY96M8","EMPLOY96M9","EMPLOY96M10","EMPLOY96M11","EMPLOY96M12","EMPLOY97M1","EMPLOY97M2","EMPLOY97M3","EMPLOY97M4","EMPLOY97M5","EMPLOY97M6","EMPLOY97M7","EMPLOY97M8","EMPLOY97M9","EMPLOY97M10","EMPLOY97M11","EMPLOY97M12","EMPLOY98M1","EMPLOY98M2","EMPLOY98M3","EMPLOY98M4","EMPLOY98M5","EMPLOY98M6","EMPLOY98M7","EMPLOY98M8","EMPLOY98M9","EMPLOY98M10","EMPLOY98M11","EMPLOY98M12","EMPLOY99M1","EMPLOY99M2","EMPLOY99M3","EMPLOY99M4","EMPLOY99M5","EMPLOY99M6","EMPLOY99M7","EMPLOY99M8","EMPLOY99M9","EMPLOY99M10","EMPLOY99M11","EMPLOY99M12"
"1980:03","90970.0","90970.0","90970.0","90970.0","90970.0","90970.0","90970.0","90970.0","90970.0","90970.0","90970.0","90970.0","90970.0","90970.0","90970.0","90970.0","90970.0","90970.0","90970.0","90970.0","90970.0","90970.0","90970.0","90970.0","90970.0","90970.0","90970.0","90970.0","90970.0","90970.0","90970.0","90970.0","90970.0","90970.0","90970.0","90970.0","90970.0","90970.0","90970.0","90970.0","90970.0","90970.0","90970.0","90970.0","90970.0","90970.0","90970.0","90970.0","90970.0","90970.0","90970.0","90970.0","90970.0","90995.0","90995.0","90995.0","90995.0","90995.0","90995.0","90995.0","90995.0","90995.0","90995.0","90995.0","90995.0","90995.0","90995.0","90995.0","90995.0","90995.0","90995.0","90995.0","90995.0","90995.0","90995.0","90995.0","90995.0","90995.0","90995.0","90995.0","90995.0","90995.0","90995.0","90995.0","90995.0","90995.0","90995.0","90995.0","90995.0","90995.0","90995.0","90995.0","90995.0","90995.0","90995.0","90995.0","90995.0","90995.0","90995.0","90995.0","90995.0","90995.0","90995.0","90995.0","90995.0","90995.0","90995.0","90995.0","90995.0","90995.0","90995.0","90995.0","90995.0","90995.0","90995.0","90995.0","90995.0","90995.0","90995.0","90995.0"
"1980:04","90747.0","90747.0","90747.0","90747.0","90747.0","90747.0","90747.0","90747.0","90747.0","90747.0","90747.0","90747.0","90747.0","90747.0","90747.0","90747.0","90747.0","90747.0","90747.0","90747.0","90747.0","90747.0","90747.0","90747.0","90747.0","90747.0","90747.0","90747.0","90747.0","90747.0","90747.0","90747.0","90747.0","90747.0","90747.0","90747.0","90747.0","90747.0","90747.0","90747.0","90747.0","90747.0","90747.0","90747.0","90747.0","90747.0","90747.0","90747.0","90747.0","90747.0","90747.0","90747.0","90747.0","90780.0","90780.0","90780.0","90780.0","90780.0","90780.0","90780.0","90780.0","90780.0","90780.0","90780.0","90780.0","90780.0","90780.0","90780.0","90780.0","90780.0","90780.0","90780.0","90780.0","90780.0","90780.0","90780.0","90780.0","90780.0","90780.0","90780.0","90780.0","90780.0","90780.0","90780.0","90780.0","90780.0","90780.0","90780.0","90780.0","90780.0","90780.0","90780.0","90780.0","90780.0","90780.0","90780.0","90780.0","90780.0","90780.0","90780.0","90780.0","90780.0","90780.0","90780.0","90780.0","90780.0","90780.0","90780.0","90780.0","90780.0","90780.0","90780.0","90780.0","90780.0","90780.0","90780.0","90780.0","90780.0","90780.0","90780.0"
"1980:05","90269.0","90269.0","90269.0","90269.0","90269.0","90269.0","90269.0","90269.0","90269.0","90269.0","90269.0","90269.0","90269.0","90269.0","90269.0","90269.0","90269.0","90269.0","90269.0","90269.0","90269.0","90269.0","90269.0","90269.0","90269.0","90269.0","90269.0","90269.0","90269.0","90269.0","90269.0","90269.0","90269.0","90269.0","90269.0","90269.0","90269.0","90269.0","90269.0","90269.0","90269.0","90269.0","90269.0","90269.0","90269.0","90269.0","90269.0","90269.0","90269.0","90269.0","90269.0","90269.0","90269.0","90316.0","90316.0","90316.0","90316.0","90316.0","90316.0","90316.0","90316.0","90316.0","90316.0","90316.0","90316.0","90316.0","90316.0","90316.0","90316.0","90316.0","90316.0","90316.0","90316.0","90316.0","90316.0","90316.0","90316.0","90316.0","90316.0","90316.0","90316.0","90316.0","90316.0","90316.0","90316.0","90316.0","90316.0","90316.0","90316.0","90316.0","90316.0","90316.0","90316.0","90316.0","90316.0","90316.0","90316.0","90316.0","90316.0","90316.0","90316.0","90316.0","90316.0","90316.0","90316.0","90316.0","90316.0","90316.0","90316.0","90316.0","90316.0","90316.0","90316.0","90316.0","90316.0","90316.0","90316.0","90316.0","90316.0","90316.0"
"1980:06","89931.0","89931.0","89931.0","89931.0","89931.0","89931.0","89931.0","89931.0","89931.0","89931.0","89931.0","89931.0","89931.0","89931.0","89931.0","89931.0","89931.0","89931.0","89931.0","89931.0","89931.0","89931.0","89931.0","89931.0","89931.0","89931.0","89931.0","89931.0","89931.0","89931.0","89931.0","89931.0","89931.0","89931.0","89931.0","89931.0","89931.0","89931.0","89931.0","89931.0","89931.0","89931.0","89931.0","89931.0","89931.0","89931.0","89931.0","89931.0","89931.0","89931.0","89931.0","89931.0","89931.0","89974.0","89974.0","89974.0","89974.0","89974.0","89974.0","89974.0","89974.0","89974.0","89974.0","89974.0","89974.0","89974.0","89974.0","89974.0","89974.0","89974.0","89974.0","89974.0","89974.0","89974.0","89974.0","89974.0","89974.0","89974.0","89974.0","89974.0","89974.0","89974.0","89974.0","89974.0","89974.0","89974.0","89974.0","89974.0","89974.0","89974.0","89974.0","89974.0","89974.0","89974.0","89974.0","89974.0","89974.0","89974.0","89974.0","89974.0","89974.0","89974.0","89974.0","89974.0","89974.0","89974.0","89974.0","89974.0","89974.0","89974.0","89974.0","89974.0","89974.0","89974.0","89974.0","89974.0","89974.0","89974.0","89974.0","89974.0"
"1980:07","89670.0","89670.0","89670.0","89670.0","89670.0","89670.0","89670.0","89670.0","89670.0","89670.0","89670.0","89670.0","89670.0","89670.0","89670.0","89670.0","89670.0","89670.0","89670.0","89670.0","89670.0","89670.0","89670.0","89670.0","89670.0","89670.0","89670.0","89670.0","89670.0","89670.0","89670.0","89670.0","89670.0","89670.0","89670.0","89670.0","89670.0","89670.0","89670.0","89670.0","89670.0","89670.0","89670.0","89670.0","89670.0","89670.0","89670.0","89670.0","89670.0","89670.0","89670.0","89670.0","89670.0","89676.0","89676.0","89676.0","89676.0","89676.0","89676.0","89676.0","89676.0","89676.0","89676.0","89676.0","89676.0","89676.0","89676.0","89676.0","89676.0","89676.0","89676.0","89676.0","89676.0","89676.0","89676.0","89676.0","89676.0","89676.0","89676.0","89676.0","89676.0","89676.0","89676.0","89676.0","89676.0","89676.0","89676.0","89676.0","89676.0","89676.0","89676.0","89676.0","89676.0","89676.0","89676.0","89676.0","89676.0","89676.0","89676.0","89676.0","89676.0","89676.0","89676.0","89676.0","89676.0","89676.0","89676.0","89676.0","89676.0","89676.0","89676.0","89676.0","89676.0","89676.0","89676.0","89676.0","89676.0","89676.0","89676.0","89676.0"
"1980:08","89933.0","89933.0","89933.0","89933.0","89933.0","89933.0","89933.0","89933.0","89933.0","89933.0","89933.0","89933.0","89933.0","89933.0","89933.0","89933.0","89933.0","89933.0","89933.0","89933.0","89933.0","89933.0","89933.0","89933.0","89933.0","89933.0","89933.0","89933.0","89933.0","89933.0","89933.0","89933.0","89933.0","89933.0","89933.0","89933.0","89933.0","89933.0","89933.0","89933.0","89933.0","89933.0","89933.0","89933.0","89933.0","89933.0","89933.0","89933.0","89933.0","89933.0","89933.0","89933.0","89933.0","89964.0","89964.0","89964.0","89964.0","89964.0","89964.0","89964.0","89964.0","89964.0","89964.0","89964.0","89964.0","89964.0","89964.0","89964.0","89964.0","89964.0","89964.0","89964.0","89964.0","89964.0","89964.0","89964.0","89964.0","89964.0","89964.0","89964.0","89964.0","89964.0","89964.0","89964.0","89964.0","89964.0","89964.0","89964.0","89964.0","89964.0","89964.0","89964.0","89964.0","89964.0","89964.0","89964.0","89964.0","89964.0","89964.0","89964.0","89964.0","89964.0","89964.0","89964.0","89964.0","89964.0","89964.0","89964.0","89964.0","89964.0","89964.0","89964.0","89964.0","89964.0","89964.0","89964.0","89964.0","89964.0","89964.0","89964.0"
"1980:09","90058.0","90058.0","90058.0","90058.0","90058.0","90058.0","90058.0","90058.0","90058.0","90058.0","90058.0","90058.0","90058.0","90058.0","90058.0","90058.0","90058.0","90058.0","90058.0","90058.0","90058.0","90058.0","90058.0","90058.0","90058.0","90058.0","90058.0","90058.0","90058.0","90058.0","90058.0","90058.0","90058.0","90058.0","90058.0","90058.0","90058.0","90058.0","90058.0","90058.0","90058.0","90058.0","90058.0","90058.0","90058.0","90058.0","90058.0","90058.0","90058.0","90058.0","90058.0","90058.0","90058.0","90046.0","90046.0","90046.0","90046.0","90046.0","90046.0","90046.0","90046.0","90046.0","90046.0","90046.0","90046.0","90046.0","90046.0","90046.0","90046.0","90046.0","90046.0","90046.0","90046.0","90046.0","90046.0","90046.0","90046.0","90046.0","90046.0","90046.0","90046.0","90046.0","90046.0","90046.0","90046.0","90046.0","90046.0","90046.0","90046.0","90046.0","90046.0","90046.0","90046.0","90046.0","90046.0","90046.0","90046.0","90046.0","90046.0","90046.0","90046.0","90046.0","90046.0","90046.0","90046.0","90046.0","90046.0","90046.0","90046.0","90046.0","90046.0","90046.0","90046.0","90046.0","90046.0","90046.0","90046.0","90046.0","90046.0","90046.0"
"1980:10","90350.0","90350.0","90350.0","90350.0","90350.0","90350.0","90350.0","90350.0","90350.0","90350.0","90350.0","90350.0","90350.0","90350.0","90350.0","90350.0","90350.0","90350.0","90350.0","90350.0","90350.0","90350.0","90350.0","90350.0","90350.0","90350.0","90350.0","90350.0","90350.0","90350.0","90350.0","90350.0","90350.0","90350.0","90350.0","90350.0","90350.0","90350.0","90350.0","90350.0","90350.0","90350.0","90350.0","90350.0","90350.0","90350.0","90350.0","90350.0","90350.0","90350.0","90350.0","90350.0","90350.0","90334.0","90334.0","90334.0","90334.0","90334.0","90334.0","90334.0","90334.0","90334.0","90334.0","90334.0","90334.0","90334.0","90334.0","90334.0","90334.0","90334.0","90334.0","90334.0","90334.0","90334.0","90334.0","90334.0","90334.0","90334.0","90334.0","90334.0","90334.0","90334.0","90334.0","90334.0","90334.0","90334.0","90334.0","90334.0","90334.0","90334.0","90334.0","90334.0","90334.0","90334.0","90334.0","90334.0","90334.0","90334.0","90334.0","90334.0","90334.0","90334.0","90334.0","90334.0","90334.0","90334.0","90334.0","90334.0","90334.0","90334.0","90334.0","90334.0","90334.0","90334.0","90334.0","90334.0","90334.0","90334.0","90334.0","90334.0"
"1980:11","90583.0","90583.0","90583.0","90583.0","90583.0","90583.0","90583.0","90583.0","90583.0","90583.0","90583.0","90583.0","90583.0","90583.0","90583.0","90583.0","90583.0","90583.0","90583.0","90583.0","90583.0","90583.0","90583.0","90583.0","90583.0","90583.0","90583.0","90583.0","90583.0","90583.0","90583.0","90583.0","90583.0","90583.0","90583.0","90583.0","90583.0","90583.0","90583.0","90583.0","90583.0","90583.0","90583.0","90583.0","90583.0","90583.0","90583.0","90583.0","90583.0","90583.0","90583.0","90583.0","90583.0","90550.0","90550.0","90550.0","90550.0","90550.0","90550.0","90550.0","90550.0","90550.0","90550.0","90550.0","90550.0","90550.0","90550.0","90550.0","90550.0","90550.0","90550.0","90550.0","90550.0","90550.0","90550.0","90550.0","90550.0","90550.0","90550.0","90550.0","90550.0","90550.0","90550.0","90550.0","90550.0","90550.0","90550.0","90550.0","90550.0","90550.0","90550.0","90550.0","90550.0","90550.0","90550.0","90550.0","90550.0","90550.0","90550.0","90550.0","90550.0","90550.0","90550.0","90550.0","90550.0","90550.0","90550.0","90550.0","90550.0","90550.0","90550.0","90550.0","90550.0","90550.0","90550.0","90550.0","90550.0","90550.0","90550.0","90550.0"
"1980:12","90818.0","90818.0","90818.0","90818.0","90818.0","90818.0","90818.0","90818.0","90818.0","90818.0","90818.0","90818.0","90818.0","90818.0","90818.0","90818.0","90818.0","90818.0","90818.0","90818.0","90818.0","90818.0","90818.0","90818.0","90818.0","90818.0","90818.0","90818.0","90818.0","90818.0","90818.0","90818.0","90818.0","90818.0","90818.0","90818.0","90818.0","90818.0","90818.0","90818.0","90818.0","90818.0","90818.0","90818.0","90818.0","90818.0","90818.0","90818.0","90818.0","90818.0","90818.0","90818.0","90818.0","90774.0","90774.0","90774.0","90774.0","90774.0","90774.0","90774.0","90774.0","90774.0","90774.0","90774.0","90774.0","90774.0","90774.0","90774.0","90774.0","90774.0","90774.0","90774.0","90774.0","90774.0","90774.0","90774.0","90774.0","90774.0","90774.0","90774.0","90774.0","90774.0","90774.0","90774.0","90774.0","90774.0","90774.0","90774.0","90774.0","90774.0","90774.0","90774.0","90774.0","90774.0","90774.0","90774.0","90774.0","90774.0","90774.0","90774.0","90774.0","90774.0","90774.0","90774.0","90774.0","90774.0","90774.0","90774.0","90774.0","90774.0","90774.0","90774.0","90774.0","90774.0","90774.0","90774.0","90774.0","90774.0","90774.0","90774.0"
"1981:01","90927.0","90927.0","90927.0","90927.0","90927.0","90927.0","90927.0","90927.0","90927.0","90927.0","90927.0","90927.0","90927.0","90927.0","90927.0","90927.0","90927.0","90927.0","90927.0","90927.0","90927.0","90927.0","90927.0","90927.0","90927.0","90927.0","90927.0","90927.0","90927.0","90927.0","90927.0","90927.0","90927.0","90927.0","90927.0","90927.0","90927.0","90927.0","90927.0","90927.0","90927.0","91021.0","91021.0","91021.0","91021.0","91021.0","91021.0","91021.0","91021.0","91021.0","91021.0","91021.0","91021.0","91003.0","91003.0","91003.0","91003.0","91003.0","91003.0","91003.0","91003.0","91003.0","91003.0","91003.0","91003.0","91003.0","91003.0","91003.0","91003.0","91003.0","91003.0","91003.0","91003.0","91003.0","91003.0","91003.0","91003.0","91003.0","91003.0","91003.0","91003.0","91003.0","91003.0","91003.0","91003.0","91003.0","91003.0","91003.0","91003.0","91003.0","91003.0","91003.0","91003.0","91003.0","91003.0","91003.0","91003.0","91003.0","91003.0","91003.0","91003.0","91003.0","91003.0","91003.0","91003.0","91003.0","91003.0","91003.0","91003.0","91003.0","91003.0","91003.0","91003.0","91003.0","91003.0","91003.0","91003.0","91003.0","91003.0","91003.0"
"1981:02","90987.0","90987.0","90987.0","90987.0","90987.0","90987.0","90987.0","90987.0","90987.0","90987.0","90987.0","90987.0","90987.0","90987.0","90987.0","90987.0","90987.0","90987.0","90987.0","90987.0","90987.0","90987.0","90987.0","90987.0","90987.0","90987.0","90987.0","90987.0","90987.0","90987.0","90987.0","90987.0","90987.0","90987.0","90987.0","90987.0","90987.0","90987.0","90987.0","90987.0","90987.0","91080.0","91080.0","91080.0","91080.0","91080.0","91080.0","91080.0","91080.0","91080.0","91080.0","91080.0","91080.0","91095.0","91095.0","91095.0","91095.0","91095.0","91095.0","91095.0","91095.0","91095.0","91095.0","91095.0","91095.0","91095.0","91095.0","91095.0","91095.0","91095.0","91095.0","91095.0","91095.0","91095.0","91095.0","91095.0","91095.0","91095.0","91095.0","91095.0","91095.0","91095.0","91095.0","91095.0","91095.0","91095.0","91095.0","91095.0","91095.0","91095.0","91095.0","91095.0","91095.0","91095.0","91095.0","91095.0","91095.0","91095.0","91095.0","91095.0","91095.0","91095.0","91095.0","91095.0","91095.0","91095.0","91095.0","91095.0","91095.0","91095.0","91095.0","91095.0","91095.0","91095.0","91095.0","91095.0","91095.0","91095.0","91095.0","91095.0"
"1981:03","91085.0","91085.0","91085.0","91085.0","91085.0","91085.0","91085.0","91085.0","91085.0","91085.0","91085.0","91085.0","91085.0","91085.0","91085.0","91085.0","91085.0","91085.0","91085.0","91085.0","91085.0","91085.0","91085.0","91085.0","91085.0","91085.0","91085.0","91085.0","91085.0","91085.0","91085.0","91085.0","91085.0","91085.0","91085.0","91085.0","91085.0","91085.0","91085.0","91085.0","91085.0","91184.0","91184.0","91184.0","91184.0","91184.0","91184.0","91184.0","91184.0","91184.0","91184.0","91184.0","91184.0","91206.0","91206.0","91206.0","91206.0","91206.0","91206.0","91206.0","91206.0","91206.0","91206.0","91206.0","91206.0","91206.0","91206.0","91206.0","91206.0","91206.0","91206.0","91206.0","91206.0","91206.0","91206.0","91206.0","91206.0","91206.0","91206.0","91206.0","91206.0","91206.0","91206.0","91206.0","91206.0","91206.0","91206.0","91206.0","91206.0","91206.0","91206.0","91206.0","91206.0","91206.0","91206.0","91206.0","91206.0","91206.0","91206.0","91206.0","91206.0","91206.0","91206.0","91206.0","91206.0","91206.0","91206.0","91206.0","91206.0","91206.0","91206.0","91206.0","91206.0","91206.0","91206.0","91206.0","91206.0","91206.0","91206.0","91206.0"
"1981:04","91175.0","91175.0","91175.0","91175.0","91175.0","91175.0","91175.0","91175.0","91175.0","91175.0","91175.0","91175.0","91175.0","91175.0","91175.0","91175.0","91175.0","91175.0","91175.0","91175.0","91175.0","91175.0","91175.0","91175.0","91175.0","91175.0","91175.0","91175.0","91175.0","91175.0","91175.0","91175.0","91175.0","91175.0","91175.0","91175.0","91175.0","91175.0","91175.0","91175.0","91175.0","91214.0","91214.0","91214.0","91214.0","91214.0","91214.0","91214.0","91214.0","91214.0","91214.0","91214.0","91214.0","91219.0","91219.0","91219.0","91219.0","91219.0","91219.0","91219.0","91219.0","91219.0","91219.0","91219.0","91219.0","91219.0","91219.0","91219.0","91219.0","91219.0","91219.0","91219.0","91219.0","91219.0","91219.0","91219.0","91219.0","91219.0","91219.0","91219.0","91219.0","91219.0","91219.0","91219.0","91219.0","91219.0","91219.0","91219.0","91219.0","91219.0","91219.0","91219.0","91219.0","91219.0","91219.0","91219.0","91219.0","91219.0","91219.0","91219.0","91219.0","91219.0","91219.0","91219.0","91219.0","91219.0","91219.0","91219.0","91219.0","91219.0","91219.0","91219.0","91219.0","91219.0","91219.0","91219.0","91219.0","91219.0","91219.0","91219.0"
"1981:05","91151.0","91151.0","91151.0","91151.0","91151.0","91151.0","91151.0","91151.0","91151.0","91151.0","91151.0","91151.0","91151.0","91151.0","91151.0","91151.0","91151.0","91151.0","91151.0","91151.0","91151.0","91151.0","91151.0","91151.0","91151.0","91151.0","91151.0","91151.0","91151.0","91151.0","91151.0","91151.0","91151.0","91151.0","91151.0","91151.0","91151.0","91151.0","91151.0","91151.0","91151.0","91132.0","91132.0","91132.0","91132.0","91132.0","91132.0","91132.0","91132.0","91132.0","91132.0","91132.0","91132.0","91142.0","91142.0","91142.0","91142.0","91142.0","91142.0","91142.0","91142.0","91142.0","91142.0","91142.0","91142.0","91142.0","91142.0","91142.0","91142.0","91142.0","91142.0","91142.0","91142.0","91142.0","91142.0","91142.0","91142.0","91142.0","91142.0","91142.0","91142.0","91142.0","91142.0","91142.0","91142.0","91142.0","91142.0","91142.0","91142.0","91142.0","91142.0","91142.0","91142.0","91142.0","91142.0","91142.0","91142.0","91142.0","91142.0","91142.0","91142.0","91142.0","91142.0","91142.0","91142.0","91142.0","91142.0","91142.0","91142.0","91142.0","91142.0","91142.0","91142.0","91142.0","91142.0","91142.0","91142.0","91142.0","91142.0","91142.0"
"1981:06","91328.0","91328.0","91328.0","91328.0","91328.0","91328.0","91328.0","91328.0","91328.0","91328.0","91328.0","91328.0","91328.0","91328.0","91328.0","91328.0","91328.0","91328.0","91328.0","91328.0","91328.0","91328.0","91328.0","91328.0","91328.0","91328.0","91328.0","91328.0","91328.0","91328.0","91328.0","91328.0","91328.0","91328.0","91328.0","91328.0","91328.0","91328.0","91328.0","91328.0","91328.0","91292.0","91292.0","91292.0","91292.0","91292.0","91292.0","91292.0","91292.0","91292.0","91292.0","91292.0","91292.0","91285.0","91285.0","91285.0","91285.0","91285.0","91285.0","91285.0","91285.0","91285.0","91285.0","91285.0","91285.0","91285.0","91285.0","91285.0","91285.0","91285.0","91285.0","91285.0","91285.0","91285.0","91285.0","91285.0","91285.0","91285.0","91285.0","91285.0","91285.0","91285.0","91285.0","91285.0","91285.0","91285.0","91285.0","91285.0","91285.0","91285.0","91285.0","91285.0","91285.0","91285.0","91285.0","91285.0","91285.0","91285.0","91285.0","91285.0","91285.0","91285.0","91285.0","91285.0","91285.0","91285.0","91285.0","91285.0","91285.0","91285.0","91285.0","91285.0","91285.0","91285.0","91285.0","91285.0","91285.0","91285.0","91285.0","91285.0"
"1981:07","91467.0","91467.0","91467.0","91467.0","91467.0","91467.0","91467.0","91467.0","91467.0","91467.0","91467.0","91467.0","91467.0","91467.0","91467.0","91467.0","91467.0","91467.0","91467.0","91467.0","91467.0","91467.0","91467.0","91467.0","91467.0","91467.0","91467.0","91467.0","91467.0","91467.0","91467.0","91467.0","91467.0","91467.0","91467.0","91467.0","91467.0","91467.0","91467.0","91467.0","91467.0","91394.0","91394.0","91394.0","91394.0","91394.0","91394.0","91394.0","91394.0","91394.0","91394.0","91394.0","91394.0","91410.0","91410.0","91410.0","91410.0","91410.0","91410.0","91410.0","91410.0","91410.0","91410.0","91410.0","91410.0","91410.0","91410.0","91410.0","91410.0","91410.0","91410.0","91410.0","91410.0","91410.0","91410.0","91410.0","91410.0","91410.0","91410.0","91410.0","91410.0","91410.0","91410.0","91410.0","91410.0","91410.0","91410.0","91410.0","91410.0","91410.0","91410.0","91410.0","91410.0","91410.0","91410.0","91410.0","91410.0","91410.0","91410.0","91410.0","91410.0","91410.0","91410.0","91410.0","91410.0","91410.0","91410.0","91410.0","91410.0","91410.0","91410.0","91410.0","91410.0","91410.0","91410.0","91410.0","91410.0","91410.0","91410.0","91410.0"
