"DATE","RCONND70M1","RCONND70M2","RCONND70M3","RCONND70M4","RCONND70M5","RCONND70M6","RCONND70M7","RCONND70M8","RCONND70M9","RCONND70M10","RCONND70M11","RCONND70M12","RCONND71M1","RCONND71M2","RCONND71M3","RCONND71M4","RCONND71M5","RCONND71M6","RCONND71M7","RCONND71M8","RCONND71M9","RCONND71M10","RCONND71M11","RCONND71M12","RCONND72M1","RCONND72M2","RCONND72M3","RCONND72M4","RCONND72M5","RCONND72M6","RCONND72M7","RCONND72M8","RCONND72M9","RCONND72M10","RCONND72M11","RCONND72M12","RCONND73M1","RCONND73M2","RCONND73M3","RCONND73M4","RCONND73M5","RCONND73M6","RCONND73M7","RCONND73M8","RCONND73M9","RCONND73M10","RCONND73M11","RCONND73M12","RCONND74M1","RCONND74M2","RCONND74M3","RCONND74M4","RCONND74M5","RCONND74M6","RCONND74M7","RCONND74M8","RCONND74M9","RCONND74M10","RCONND74M11","RCONND74M12","RCONND75M1","RCONND75M2","RCONND75M3","RCONND75M4","RCONND75M5","RCONND75M6","RCONND75M7","RCONND75M8","RCONND75M9","RCONND75M10","RCONND75M11","RCONND75M12","RCONND76M1","RCONND76M2","RCONND76M3","RCONND76M4","RCONND76M5","RCONND76M6","RCONND76M7","RCONND76M8","RCONND76M9","RCONND76M10","RCONND76M11","RCONND76M12","RCONND77M1","RCONND77M2","RCONND77M3","RCONND77M4","RCONND77M5","RCONND77M6","RCONND77M7","RCONND77M8","RCONND77M9","RCONND77M10","RCONND77M11","RCONND77M12","RCONND78M1","RCONND78M2","RCONND78M3","RCONND78M4","RCONND78M5","RCONND78M6","RCONND78M7","RCONND78M8","RCONND78M9","RCONND78M10","RCONND78M11","RCONND78M12","RCONND79M1","RCONND79M2","RCONND79M3","RCONND79M4","RCONND79M5","RCONND79M6","RCONND79M7","RCONND79M8","RCONND79M9","RCONND79M10","RCONND79M11","RCONND79M12"
"1953:Q1","124.5","124.5","124.5","124.5","124.5","124.5","124.5","124.5","124.5","124.5","124.5","124.5","124.5","124.5","124.5","124.5","124.5","124.5","124.5","124.5","124.5","124.5","124.5","124.5","124.5","124.5","124.5","124.5","124.5","124.5","124.5","124.5","124.5","124.5","124.5","124.5","124.5","124.5","124.5","124.5","124.5","124.5","124.5","124.5","124.5","124.5","124.5","124.5","124.5","124.5","124.5","124.5","124.5","124.5","124.5","124.5","124.5","124.5","124.5","124.5","124.5","124.5","124.5","124.5","124.5","124.5","124.5","124.5","124.5","124.5","124.5","124.5","124.5","176.1","176.1","176.1","176.1","176.1","176.1","176.1","176.1","176.1","176.1","176.1","176.1","176.1","176.1","176.1","176.1","176.1","176.1","176.1","176.1","176.1","176.1","176.1","176.1","176.1","176.1","176.1","176.1","176.1","176.1","176.1","176.1","176.1","176.1","176.1","176.1","176.1","176.1","176.1","176.1","176.1","176.1","176.1","176.1","176.1","176.1","176.1"
"1953:Q2","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","176.6","176.6","176.6","176.6","176.6","176.6","176.6","176.6","176.6","176.6","176.6","176.6","176.6","176.6","176.6","176.6","176.6","176.6","176.6","176.6","176.6","176.6","176.6","176.6","176.6","176.6","176.6","176.6","176.6","176.6","176.6","176.6","176.6","176.6","176.6","176.6","176.6","176.6","176.6","176.6","176.6","176.6","176.6","176.6","176.6","176.6","176.6"
"1953:Q3","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","175.2","175.2","175.2","175.2","175.2","175.2","175.2","175.2","175.2","175.2","175.2","175.2","175.2","175.2","175.2","175.2","175.2","175.2","175.2","175.2","175.2","175.2","175.2","175.2","175.2","175.2","175.2","175.2","175.2","175.2","175.2","175.2","175.2","175.2","175.2","175.2","175.2","175.2","175.2","175.2","175.2","175.2","175.2","175.2","175.2","175.2","175.2"
"1953:Q4","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","123.9","174.9","174.9","174.9","174.9","174.9","174.9","174.9","174.9","174.9","174.9","174.9","174.9","174.9","174.9","174.9","174.9","174.9","174.9","174.9","174.9","174.9","174.9","174.9","174.9","174.9","174.9","174.9","174.9","174.9","174.9","174.9","174.9","174.9","174.9","174.9","174.9","174.9","174.9","174.9","174.9","174.9","174.9","174.9","174.9","174.9","174.9","174.9"
"1954:Q1","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6","124.6","175.8","175.8","175.8","175.8","175.8","175.8","175.8","175.8","175.8","175.8","175.8","175.8","175.8","175.8","175.8","175.8","175.8","175.8","175.8","175.8","175.8","175.8","175.8","175.8","175.8","175.8","175.8","175.8","175.8","175.8","175.8","175.8","175.8","175.8","175.8","175.8","175.8","175.8","175.8","175.8","175.8","175.8","175.8","175.8","175.8","175.8","175.8"
"1954:Q2","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","124.1","175.0","175.0","175.0","175.0","175.0","175.0","175.0","175.0","175.0","175.0","175.0","175.0","175.0","175.0","175.0","175.0","175.0","175.0","175.0","175.0","175.0","175.0","175.0","175.0","175.0","175.0","175.0","175.0","175.0","175.0","175.0","175.0","175.0","175.0","175.0","175.0","175.0","175.0","175.0","175.0","175.0","175.0","175.0","175.0","175.0","175.0","175.0"
"1954:Q3","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.7","125.7","177.2","177.2","177.2","177.2","177.2","177.2","177.2","177.2","177.2","177.2","177.2","177.2","177.2","177.2","177.2","177.2","177.2","177.2","177.2","177.2","177.2","177.2","177.2","177.2","177.2","177.2","177.2","177.2","177.2","177.2","177.2","177.2","177.2","177.2","177.2","177.2","177.2","177.2","177.2","177.2","177.2","177.2","177.2","177.2","177.2","177.2","177.2"
"1954:Q4","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","180.0","180.0","180.0","180.0","180.0","180.0","180.0","180.0","180.0","180.0","180.0","180.0","180.0","180.0","180.0","180.0","180.0","180.0","180.0","180.0","180.0","180.0","180.0","180.0","180.0","180.0","180.0","180.0","180.0","180.0","180.0","180.0","180.0","180.0","180.0","180.0","180.0","180.0","180.0","180.0","180.0","180.0","180.0","180.0","180.0","180.0","180.0"
"1955:Q1","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","128.8","181.4","181.4","181.4","181.4","181.4","181.4","181.4","181.4","181.4","181.4","181.4","181.4","181.4","181.4","181.4","181.4","181.4","181.4","181.4","181.4","181.4","181.4","181.4","181.4","181.4","181.4","181.4","181.4","181.4","181.4","181.4","181.4","181.4","181.4","181.4","181.4","181.4","181.4","181.4","181.4","181.4","181.4","181.4","181.4","181.4","181.4","181.4"
"1955:Q2","131.0","131.0","131.0","131.0","131.0","131.0","131.0","131.0","131.0","131.0","131.0","131.0","131.0","131.0","131.0","131.0","131.0","131.0","131.0","131.0","131.0","131.0","131.0","131.0","131.0","131.0","131.0","131.0","131.0","131.0","131.0","131.0","131.0","131.0","131.0","131.0","131.0","131.0","131.0","131.0","131.0","131.0","131.0","131.0","131.0","131.0","131.0","131.0","131.0","131.0","131.0","131.0","131.0","131.0","131.0","131.0","131.0","131.0","131.0","131.0","131.0","131.0","131.0","131.0","131.0","131.0","131.0","131.0","131.0","131.0","131.0","131.0","131.0","184.4","184.4","184.4","184.4","184.4","184.4","184.4","184.4","184.4","184.4","184.4","184.4","184.4","184.4","184.4","184.4","184.4","184.4","184.4","184.4","184.4","184.4","184.4","184.4","184.4","184.4","184.4","184.4","184.4","184.4","184.4","184.4","184.4","184.4","184.4","184.4","184.4","184.4","184.4","184.4","184.4","184.4","184.4","184.4","184.4","184.4","184.4"
"1955:Q3","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","132.1","185.9","185.9","185.9","185.9","185.9","185.9","185.9","185.9","185.9","185.9","185.9","185.9","185.9","185.9","185.9","185.9","185.9","185.9","185.9","185.9","185.9","185.9","185.9","185.9","185.9","185.9","185.9","185.9","185.9","185.9","185.9","185.9","185.9","185.9","185.9","185.9","185.9","185.9","185.9","185.9","185.9","185.9","185.9","185.9","185.9","185.9","185.9"
"1955:Q4","134.9","134.9","134.9","134.9","134.9","134.9","134.9","134.9","134.9","134.9","134.9","134.9","134.9","134.9","134.9","134.9","134.9","134.9","134.9","134.9","134.9","134.9","134.9","134.9","134.9","134.9","134.9","134.9","134.9","134.9","134.9","134.9","134.9","134.9","134.9","134.9","134.9","134.9","134.9","134.9","134.9","134.9","134.9","134.9","134.9","134.9","134.9","134.9","134.9","134.9","134.9","134.9","134.9","134.9","134.9","134.9","134.9","134.9","134.9","134.9","134.9","134.9","134.9","134.9","134.9","134.9","134.9","134.9","134.9","134.9","134.9","134.9","134.9","189.8","189.8","189.8","189.8","189.8","189.8","189.8","189.8","189.8","189.8","189.8","189.8","189.8","189.8","189.8","189.8","189.8","189.8","189.8","189.8","189.8","189.8","189.8","189.8","189.8","189.8","189.8","189.8","189.8","189.8","189.8","189.8","189.8","189.8","189.8","189.8","189.8","189.8","189.8","189.8","189.8","189.8","189.8","189.8","189.8","189.8","189.8"
"1956:Q1","136.2","136.2","136.2","136.2","136.2","136.2","136.2","136.2","136.2","136.2","136.2","136.2","136.2","136.2","136.2","136.2","136.2","136.2","136.2","136.2","136.2","136.2","136.2","136.2","136.2","136.2","136.2","136.2","136.2","136.2","136.2","136.2","136.2","136.2","136.2","136.2","136.2","136.2","136.2","136.2","136.2","136.2","136.2","136.2","136.2","136.2","136.2","136.2","136.2","136.2","136.2","136.2","136.2","136.2","136.2","136.2","136.2","136.2","136.2","136.2","136.2","136.2","136.2","136.2","136.2","136.2","136.2","136.2","136.2","136.2","136.2","136.2","136.2","191.6","191.6","191.6","191.6","191.6","191.6","191.6","191.6","191.6","191.6","191.6","191.6","191.6","191.6","191.6","191.6","191.6","191.6","191.6","191.6","191.6","191.6","191.6","191.6","191.6","191.6","191.6","191.6","191.6","191.6","191.6","191.6","191.6","191.6","191.6","191.6","191.6","191.6","191.6","191.6","191.6","191.6","191.6","191.6","191.6","191.6","191.6"
"1956:Q2","135.8","135.8","135.8","135.8","135.8","135.8","135.8","135.8","135.8","135.8","135.8","135.8","135.8","135.8","135.8","135.8","135.8","135.8","135.8","135.8","135.8","135.8","135.8","135.8","135.8","135.8","135.8","135.8","135.8","135.8","135.8","135.8","135.8","135.8","135.8","135.8","135.8","135.8","135.8","135.8","135.8","135.8","135.8","135.8","135.8","135.8","135.8","135.8","135.8","135.8","135.8","135.8","135.8","135.8","135.8","135.8","135.8","135.8","135.8","135.8","135.8","135.8","135.8","135.8","135.8","135.8","135.8","135.8","135.8","135.8","135.8","135.8","135.8","191.1","191.1","191.1","191.1","191.1","191.1","191.1","191.1","191.1","191.1","191.1","191.1","191.1","191.1","191.1","191.1","191.1","191.1","191.1","191.1","191.1","191.1","191.1","191.1","191.1","191.1","191.1","191.1","191.1","191.1","191.1","191.1","191.1","191.1","191.1","191.1","191.1","191.1","191.1","191.1","191.1","191.1","191.1","191.1","191.1","191.1","191.1"
"1956:Q3","135.9","135.9","135.9","135.9","135.9","135.9","135.9","135.9","135.9","135.9","135.9","135.9","135.9","135.9","135.9","135.9","135.9","135.9","135.9","135.9","135.9","135.9","135.9","135.9","135.9","135.9","135.9","135.9","135.9","135.9","135.9","135.9","135.9","135.9","135.9","135.9","135.9","135.9","135.9","135.9","135.9","135.9","135.9","135.9","135.9","135.9","135.9","135.9","135.9","135.9","135.9","135.9","135.9","135.9","135.9","135.9","135.9","135.9","135.9","135.9","135.9","135.9","135.9","135.9","135.9","135.9","135.9","135.9","135.9","135.9","135.9","135.9","135.9","191.2","191.2","191.2","191.2","191.2","191.2","191.2","191.2","191.2","191.2","191.2","191.2","191.2","191.2","191.2","191.2","191.2","191.2","191.2","191.2","191.2","191.2","191.2","191.2","191.2","191.2","191.2","191.2","191.2","191.2","191.2","191.2","191.2","191.2","191.2","191.2","191.2","191.2","191.2","191.2","191.2","191.2","191.2","191.2","191.2","191.2","191.2"
"1956:Q4","136.9","136.9","136.9","136.9","136.9","136.9","136.9","136.9","136.9","136.9","136.9","136.9","136.9","136.9","136.9","136.9","136.9","136.9","136.9","136.9","136.9","136.9","136.9","136.9","136.9","136.9","136.9","136.9","136.9","136.9","136.9","136.9","136.9","136.9","136.9","136.9","136.9","136.9","136.9","136.9","136.9","136.9","136.9","136.9","136.9","136.9","136.9","136.9","136.9","136.9","136.9","136.9","136.9","136.9","136.9","136.9","136.9","136.9","136.9","136.9","136.9","136.9","136.9","136.9","136.9","136.9","136.9","136.9","136.9","136.9","136.9","136.9","136.9","192.5","192.5","192.5","192.5","192.5","192.5","192.5","192.5","192.5","192.5","192.5","192.5","192.5","192.5","192.5","192.5","192.5","192.5","192.5","192.5","192.5","192.5","192.5","192.5","192.5","192.5","192.5","192.5","192.5","192.5","192.5","192.5","192.5","192.5","192.5","192.5","192.5","192.5","192.5","192.5","192.5","192.5","192.5","192.5","192.5","192.5","192.5"
"1957:Q1","137.4","137.4","137.4","137.4","137.4","137.4","137.4","137.4","137.4","137.4","137.4","137.4","137.4","137.4","137.4","137.4","137.4","137.4","137.4","137.4","137.4","137.4","137.4","137.4","137.4","137.4","137.4","137.4","137.4","137.4","137.4","137.4","137.4","137.4","137.4","137.4","137.4","137.4","137.4","137.4","137.4","137.4","137.4","137.4","137.4","137.4","137.4","137.4","137.4","137.4","137.4","137.4","137.4","137.4","137.4","137.4","137.4","137.4","137.4","137.4","137.4","137.4","137.4","137.4","137.4","137.4","137.4","137.4","137.4","137.4","137.4","137.4","137.4","193.1","193.1","193.1","193.1","193.1","193.1","193.1","193.1","193.1","193.1","193.1","193.1","193.1","193.1","193.1","193.1","193.1","193.1","193.1","193.1","193.1","193.1","193.1","193.1","193.1","193.1","193.1","193.1","193.1","193.1","193.1","193.1","193.1","193.1","193.1","193.1","193.1","193.1","193.1","193.1","193.1","193.1","193.1","193.1","193.1","193.1","193.1"
"1957:Q2","138.0","138.0","138.0","138.0","138.0","138.0","138.0","138.0","138.0","138.0","138.0","138.0","138.0","138.0","138.0","138.0","138.0","138.0","138.0","138.0","138.0","138.0","138.0","138.0","138.0","138.0","138.0","138.0","138.0","138.0","138.0","138.0","138.0","138.0","138.0","138.0","138.0","138.0","138.0","138.0","138.0","138.0","138.0","138.0","138.0","138.0","138.0","138.0","138.0","138.0","138.0","138.0","138.0","138.0","138.0","138.0","138.0","138.0","138.0","138.0","138.0","138.0","138.0","138.0","138.0","138.0","138.0","138.0","138.0","138.0","138.0","138.0","138.0","193.9","193.9","193.9","193.9","193.9","193.9","193.9","193.9","193.9","193.9","193.9","193.9","193.9","193.9","193.9","193.9","193.9","193.9","193.9","193.9","193.9","193.9","193.9","193.9","193.9","193.9","193.9","193.9","193.9","193.9","193.9","193.9","193.9","193.9","193.9","193.9","193.9","193.9","193.9","193.9","193.9","193.9","193.9","193.9","193.9","193.9","193.9"
"1957:Q3","140.1","140.1","140.1","140.1","140.1","140.1","140.1","140.1","140.1","140.1","140.1","140.1","140.1","140.1","140.1","140.1","140.1","140.1","140.1","140.1","140.1","140.1","140.1","140.1","140.1","140.1","140.1","140.1","140.1","140.1","140.1","140.1","140.1","140.1","140.1","140.1","140.1","140.1","140.1","140.1","140.1","140.1","140.1","140.1","140.1","140.1","140.1","140.1","140.1","140.1","140.1","140.1","140.1","140.1","140.1","140.1","140.1","140.1","140.1","140.1","140.1","140.1","140.1","140.1","140.1","140.1","140.1","140.1","140.1","140.1","140.1","140.1","140.1","196.7","196.7","196.7","196.7","196.7","196.7","196.7","196.7","196.7","196.7","196.7","196.7","196.7","196.7","196.7","196.7","196.7","196.7","196.7","196.7","196.7","196.7","196.7","196.7","196.7","196.7","196.7","196.7","196.7","196.7","196.7","196.7","196.7","196.7","196.7","196.7","196.7","196.7","196.7","196.7","196.7","196.7","196.7","196.7","196.7","196.7","196.7"
"1957:Q4","139.4","139.4","139.4","139.4","139.4","139.4","139.4","139.4","139.4","139.4","139.4","139.4","139.4","139.4","139.4","139.4","139.4","139.4","139.4","139.4","139.4","139.4","139.4","139.4","139.4","139.4","139.4","139.4","139.4","139.4","139.4","139.4","139.4","139.4","139.4","139.4","139.4","139.4","139.4","139.4","139.4","139.4","139.4","139.4","139.4","139.4","139.4","139.4","139.4","139.4","139.4","139.4","139.4","139.4","139.4","139.4","139.4","139.4","139.4","139.4","139.4","139.4","139.4","139.4","139.4","139.4","139.4","139.4","139.4","139.4","139.4","139.4","139.4","195.7","195.7","195.7","195.7","195.7","195.7","195.7","195.7","195.7","195.7","195.7","195.7","195.7","195.7","195.7","195.7","195.7","195.7","195.7","195.7","195.7","195.7","195.7","195.7","195.7","195.7","195.7","195.7","195.7","195.7","195.7","195.7","195.7","195.7","195.7","195.7","195.7","195.7","195.7","195.7","195.7","195.7","195.7","195.7","195.7","195.7","195.7"
"1958:Q1","137.8","137.8","137.8","137.8","137.8","137.8","137.8","137.8","137.8","137.8","137.8","137.8","137.8","137.8","137.8","137.8","137.8","137.8","137.8","137.8","137.8","137.8","137.8","137.8","137.8","137.8","137.8","137.8","137.8","137.8","137.8","137.8","137.8","137.8","137.8","137.8","137.8","137.8","137.8","137.8","137.8","137.8","137.8","137.8","137.8","137.8","137.8","137.8","137.8","137.8","137.8","137.8","137.8","137.8","137.8","137.8","137.8","137.8","137.8","137.8","137.8","137.8","137.8","137.8","137.8","137.8","137.8","137.8","137.8","137.8","137.8","137.8","137.8","193.4","193.4","193.4","193.4","193.4","193.4","193.4","193.4","193.4","193.4","193.4","193.4","193.4","193.4","193.4","193.4","193.4","193.4","193.4","193.4","193.4","193.4","193.4","193.4","193.4","193.4","193.4","193.4","193.4","193.4","193.4","193.4","193.4","193.4","193.4","193.4","193.4","193.4","193.4","193.4","193.4","193.4","193.4","193.4","193.4","193.4","193.4"
