"DATE","RINVCHI70M1","RINVCHI70M2","RINVCHI70M3","RINVCHI70M4","RINVCHI70M5","RINVCHI70M6","RINVCHI70M7","RINVCHI70M8","RINVCHI70M9","RINVCHI70M10","RINVCHI70M11","RINVCHI70M12","RINVCHI71M1","RINVCHI71M2","RINVCHI71M3","RINVCHI71M4","RINVCHI71M5","RINVCHI71M6","RINVCHI71M7","RINVCHI71M8","RINVCHI71M9","RINVCHI71M10","RINVCHI71M11","RINVCHI71M12","RINVCHI72M1","RINVCHI72M2","RINVCHI72M3","RINVCHI72M4","RINVCHI72M5","RINVCHI72M6","RINVCHI72M7","RINVCHI72M8","RINVCHI72M9","RINVCHI72M10","RINVCHI72M11","RINVCHI72M12","RINVCHI73M1","RINVCHI73M2","RINVCHI73M3","RINVCHI73M4","RINVCHI73M5","RINVCHI73M6","RINVCHI73M7","RINVCHI73M8","RINVCHI73M9","RINVCHI73M10","RINVCHI73M11","RINVCHI73M12","RINVCHI74M1","RINVCHI74M2","RINVCHI74M3","RINVCHI74M4","RINVCHI74M5","RINVCHI74M6","RINVCHI74M7","RINVCHI74M8","RINVCHI74M9","RINVCHI74M10","RINVCHI74M11","RINVCHI74M12","RINVCHI75M1","RINVCHI75M2","RINVCHI75M3","RINVCHI75M4","RINVCHI75M5","RINVCHI75M6","RINVCHI75M7","RINVCHI75M8","RINVCHI75M9","RINVCHI75M10","RINVCHI75M11","RINVCHI75M12","RINVCHI76M1","RINVCHI76M2","RINVCHI76M3","RINVCHI76M4","RINVCHI76M5","RINVCHI76M6","RINVCHI76M7","RINVCHI76M8","RINVCHI76M9","RINVCHI76M10","RINVCHI76M11","RINVCHI76M12","RINVCHI77M1","RINVCHI77M2","RINVCHI77M3","RINVCHI77M4","RINVCHI77M5","RINVCHI77M6","RINVCHI77M7","RINVCHI77M8","RINVCHI77M9","RINVCHI77M10","RINVCHI77M11","RINVCHI77M12","RINVCHI78M1","RINVCHI78M2","RINVCHI78M3","RINVCHI78M4","RINVCHI78M5","RINVCHI78M6","RINVCHI78M7","RINVCHI78M8","RINVCHI78M9","RINVCHI78M10","RINVCHI78M11","RINVCHI78M12","RINVCHI79M1","RINVCHI79M2","RINVCHI79M3","RINVCHI79M4","RINVCHI79M5","RINVCHI79M6","RINVCHI79M7","RINVCHI79M8","RINVCHI79M9","RINVCHI79M10","RINVCHI79M11","RINVCHI79M12"
"1952:Q2","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7"
"1952:Q3","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","5.4","5.4","5.4","5.4","5.4","5.4","5.4","5.4","5.4","5.4","5.4","5.4","5.4","5.4","5.4","5.4","5.4","5.4","5.4","5.4","5.4","5.4","5.4","5.4","5.4","5.4","5.4","5.4","5.4","5.4","5.4","5.4","5.4","5.4","5.4","5.4","5.4","5.4","5.4","5.4","5.4","5.4","5.4","5.4","5.4","5.4","5.4"
"1952:Q4","5.7","5.7","5.7","5.7","5.7","5.7","5.7","5.7","5.7","5.7","5.7","5.7","5.7","5.7","5.7","5.7","5.7","5.7","5.7","5.7","5.7","5.7","5.7","5.7","5.7","5.7","5.7","5.7","5.7","5.7","5.7","5.7","5.7","5.7","5.7","5.7","5.7","5.7","5.7","5.7","5.7","5.7","5.7","5.7","5.7","5.7","5.7","5.7","5.7","5.7","5.7","5.7","5.7","5.7","5.7","5.7","5.7","5.7","5.7","5.7","5.7","5.7","5.7","5.7","5.7","5.7","5.7","5.7","5.7","5.7","5.7","5.7","5.7","7.2","7.2","7.2","7.2","7.2","7.2","7.2","7.2","7.2","7.2","7.2","7.2","7.2","7.2","7.2","7.2","7.2","7.2","7.2","7.2","7.2","7.2","7.2","7.2","7.2","7.2","7.2","7.2","7.2","7.2","7.2","7.2","7.2","7.2","7.2","7.2","7.2","7.2","7.2","7.2","7.2","7.2","7.2","7.2","7.2","7.2","7.2"
"1953:Q1","3.1","3.1","3.1","3.1","3.1","3.1","3.1","3.1","3.1","3.1","3.1","3.1","3.1","3.1","3.1","3.1","3.1","3.1","3.1","3.1","3.1","3.1","3.1","3.1","3.1","3.1","3.1","3.1","3.1","3.1","3.1","3.1","3.1","3.1","3.1","3.1","3.1","3.1","3.1","3.1","3.1","3.1","3.1","3.1","3.1","3.1","3.1","3.1","3.1","3.1","3.1","3.1","3.1","3.1","3.1","3.1","3.1","3.1","3.1","3.1","3.1","3.1","3.1","3.1","3.1","3.1","3.1","3.1","3.1","3.1","3.1","3.1","3.1","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9","3.9"
"1953:Q2","3.8","3.8","3.8","3.8","3.8","3.8","3.8","3.8","3.8","3.8","3.8","3.8","3.8","3.8","3.8","3.8","3.8","3.8","3.8","3.8","3.8","3.8","3.8","3.8","3.8","3.8","3.8","3.8","3.8","3.8","3.8","3.8","3.8","3.8","3.8","3.8","3.8","3.8","3.8","3.8","3.8","3.8","3.8","3.8","3.8","3.8","3.8","3.8","3.8","3.8","3.8","3.8","3.8","3.8","3.8","3.8","3.8","3.8","3.8","3.8","3.8","3.8","3.8","3.8","3.8","3.8","3.8","3.8","3.8","3.8","3.8","3.8","3.8","5.1","5.1","5.1","5.1","5.1","5.1","5.1","5.1","5.1","5.1","5.1","5.1","5.1","5.1","5.1","5.1","5.1","5.1","5.1","5.1","5.1","5.1","5.1","5.1","5.1","5.1","5.1","5.1","5.1","5.1","5.1","5.1","5.1","5.1","5.1","5.1","5.1","5.1","5.1","5.1","5.1","5.1","5.1","5.1","5.1","5.1","5.1"
"1953:Q3","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9"
"1953:Q4","-4.3","-4.3","-4.3","-4.3","-4.3","-4.3","-4.3","-4.3","-4.3","-4.3","-4.3","-4.3","-4.3","-4.3","-4.3","-4.3","-4.3","-4.3","-4.3","-4.3","-4.3","-4.3","-4.3","-4.3","-4.3","-4.3","-4.3","-4.3","-4.3","-4.3","-4.3","-4.3","-4.3","-4.3","-4.3","-4.3","-4.3","-4.3","-4.3","-4.3","-4.3","-4.3","-4.3","-4.3","-4.3","-4.3","-4.3","-4.3","-4.3","-4.3","-4.3","-4.3","-4.3","-4.3","-4.3","-4.3","-4.3","-4.3","-4.3","-4.3","-4.3","-4.3","-4.3","-4.3","-4.3","-4.3","-4.3","-4.3","-4.3","-4.3","-4.3","-4.3","-4.3","-5.0","-5.0","-5.0","-5.0","-5.0","-5.0","-5.0","-5.0","-5.0","-5.0","-5.0","-5.0","-5.0","-5.0","-5.0","-5.0","-5.0","-5.0","-5.0","-5.0","-5.0","-5.0","-5.0","-5.0","-5.0","-5.0","-5.0","-5.0","-5.0","-5.0","-5.0","-5.0","-5.0","-5.0","-5.0","-5.0","-5.0","-5.0","-5.0","-5.0","-5.0","-5.0","-5.0","-5.0","-5.0","-5.0","-5.0"
"1954:Q1","-2.9","-2.9","-2.9","-2.9","-2.9","-2.9","-2.9","-2.9","-2.9","-2.9","-2.9","-2.9","-2.9","-2.9","-2.9","-2.9","-2.9","-2.9","-2.9","-2.9","-2.9","-2.9","-2.9","-2.9","-2.9","-2.9","-2.9","-2.9","-2.9","-2.9","-2.9","-2.9","-2.9","-2.9","-2.9","-2.9","-2.9","-2.9","-2.9","-2.9","-2.9","-2.9","-2.9","-2.9","-2.9","-2.9","-2.9","-2.9","-2.9","-2.9","-2.9","-2.9","-2.9","-2.9","-2.9","-2.9","-2.9","-2.9","-2.9","-2.9","-2.9","-2.9","-2.9","-2.9","-2.9","-2.9","-2.9","-2.9","-2.9","-2.9","-2.9","-2.9","-2.9","-3.4","-3.4","-3.4","-3.4","-3.4","-3.4","-3.4","-3.4","-3.4","-3.4","-3.4","-3.4","-3.4","-3.4","-3.4","-3.4","-3.4","-3.4","-3.4","-3.4","-3.4","-3.4","-3.4","-3.4","-3.4","-3.4","-3.4","-3.4","-3.4","-3.4","-3.4","-3.4","-3.4","-3.4","-3.4","-3.4","-3.4","-3.4","-3.4","-3.4","-3.4","-3.4","-3.4","-3.4","-3.4","-3.4","-3.4"
"1954:Q2","-3.6","-3.6","-3.6","-3.6","-3.6","-3.6","-3.6","-3.6","-3.6","-3.6","-3.6","-3.6","-3.6","-3.6","-3.6","-3.6","-3.6","-3.6","-3.6","-3.6","-3.6","-3.6","-3.6","-3.6","-3.6","-3.6","-3.6","-3.6","-3.6","-3.6","-3.6","-3.6","-3.6","-3.6","-3.6","-3.6","-3.6","-3.6","-3.6","-3.6","-3.6","-3.6","-3.6","-3.6","-3.6","-3.6","-3.6","-3.6","-3.6","-3.6","-3.6","-3.6","-3.6","-3.6","-3.6","-3.6","-3.6","-3.6","-3.6","-3.6","-3.6","-3.6","-3.6","-3.6","-3.6","-3.6","-3.6","-3.6","-3.6","-3.6","-3.6","-3.6","-3.6","-4.1","-4.1","-4.1","-4.1","-4.1","-4.1","-4.1","-4.1","-4.1","-4.1","-4.1","-4.1","-4.1","-4.1","-4.1","-4.1","-4.1","-4.1","-4.1","-4.1","-4.1","-4.1","-4.1","-4.1","-4.1","-4.1","-4.1","-4.1","-4.1","-4.1","-4.1","-4.1","-4.1","-4.1","-4.1","-4.1","-4.1","-4.1","-4.1","-4.1","-4.1","-4.1","-4.1","-4.1","-4.1","-4.1","-4.1"
"1954:Q3","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7","-2.7"
"1954:Q4","0.9","0.9","0.9","0.9","0.9","0.9","0.9","0.9","0.9","0.9","0.9","0.9","0.9","0.9","0.9","0.9","0.9","0.9","0.9","0.9","0.9","0.9","0.9","0.9","0.9","0.9","0.9","0.9","0.9","0.9","0.9","0.9","0.9","0.9","0.9","0.9","0.9","0.9","0.9","0.9","0.9","0.9","0.9","0.9","0.9","0.9","0.9","0.9","0.9","0.9","0.9","0.9","0.9","0.9","0.9","0.9","0.9","0.9","0.9","0.9","0.9","0.9","0.9","0.9","0.9","0.9","0.9","0.9","0.9","0.9","0.9","0.9","0.9","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5","1.5"
"1955:Q1","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.9","5.9","5.9","5.9","5.9","5.9","5.9","5.9","5.9","5.9","5.9","5.9","5.9","5.9","5.9","5.9","5.9","5.9","5.9","5.9","5.9","5.9","5.9","5.9","5.9","5.9","5.9","5.9","5.9","5.9","5.9","5.9","5.9","5.9","5.9","5.9","5.9","5.9","5.9","5.9","5.9","5.9","5.9","5.9","5.9","5.9","5.9"
"1955:Q2","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","8.0","8.0","8.0","8.0","8.0","8.0","8.0","8.0","8.0","8.0","8.0","8.0","8.0","8.0","8.0","8.0","8.0","8.0","8.0","8.0","8.0","8.0","8.0","8.0","8.0","8.0","8.0","8.0","8.0","8.0","8.0","8.0","8.0","8.0","8.0","8.0","8.0","8.0","8.0","8.0","8.0","8.0","8.0","8.0","8.0","8.0","8.0"
"1955:Q3","6.4","6.4","6.4","6.4","6.4","6.4","6.4","6.4","6.4","6.4","6.4","6.4","6.4","6.4","6.4","6.4","6.4","6.4","6.4","6.4","6.4","6.4","6.4","6.4","6.4","6.4","6.4","6.4","6.4","6.4","6.4","6.4","6.4","6.4","6.4","6.4","6.4","6.4","6.4","6.4","6.4","6.4","6.4","6.4","6.4","6.4","6.4","6.4","6.4","6.4","6.4","6.4","6.4","6.4","6.4","6.4","6.4","6.4","6.4","6.4","6.4","6.4","6.4","6.4","6.4","6.4","6.4","6.4","6.4","6.4","6.4","6.4","6.4","7.8","7.8","7.8","7.8","7.8","7.8","7.8","7.8","7.8","7.8","7.8","7.8","7.8","7.8","7.8","7.8","7.8","7.8","7.8","7.8","7.8","7.8","7.8","7.8","7.8","7.8","7.8","7.8","7.8","7.8","7.8","7.8","7.8","7.8","7.8","7.8","7.8","7.8","7.8","7.8","7.8","7.8","7.8","7.8","7.8","7.8","7.8"
"1955:Q4","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.6","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2"
"1956:Q1","6.2","6.2","6.2","6.2","6.2","6.2","6.2","6.2","6.2","6.2","6.2","6.2","6.2","6.2","6.2","6.2","6.2","6.2","6.2","6.2","6.2","6.2","6.2","6.2","6.2","6.2","6.2","6.2","6.2","6.2","6.2","6.2","6.2","6.2","6.2","6.2","6.2","6.2","6.2","6.2","6.2","6.2","6.2","6.2","6.2","6.2","6.2","6.2","6.2","6.2","6.2","6.2","6.2","6.2","6.2","6.2","6.2","6.2","6.2","6.2","6.2","6.2","6.2","6.2","6.2","6.2","6.2","6.2","6.2","6.2","6.2","6.2","6.2","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5","7.5"
"1956:Q2","4.6","4.6","4.6","4.6","4.6","4.6","4.6","4.6","4.6","4.6","4.6","4.6","4.6","4.6","4.6","4.6","4.6","4.6","4.6","4.6","4.6","4.6","4.6","4.6","4.6","4.6","4.6","4.6","4.6","4.6","4.6","4.6","4.6","4.6","4.6","4.6","4.6","4.6","4.6","4.6","4.6","4.6","4.6","4.6","4.6","4.6","4.6","4.6","4.6","4.6","4.6","4.6","4.6","4.6","4.6","4.6","4.6","4.6","4.6","4.6","4.6","4.6","4.6","4.6","4.6","4.6","4.6","4.6","4.6","4.6","4.6","4.6","4.6","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5"
"1956:Q3","4.1","4.1","4.1","4.1","4.1","4.1","4.1","4.1","4.1","4.1","4.1","4.1","4.1","4.1","4.1","4.1","4.1","4.1","4.1","4.1","4.1","4.1","4.1","4.1","4.1","4.1","4.1","4.1","4.1","4.1","4.1","4.1","4.1","4.1","4.1","4.1","4.1","4.1","4.1","4.1","4.1","4.1","4.1","4.1","4.1","4.1","4.1","4.1","4.1","4.1","4.1","4.1","4.1","4.1","4.1","4.1","4.1","4.1","4.1","4.1","4.1","4.1","4.1","4.1","4.1","4.1","4.1","4.1","4.1","4.1","4.1","4.1","4.1","4.9","4.9","4.9","4.9","4.9","4.9","4.9","4.9","4.9","4.9","4.9","4.9","4.9","4.9","4.9","4.9","4.9","4.9","4.9","4.9","4.9","4.9","4.9","4.9","4.9","4.9","4.9","4.9","4.9","4.9","4.9","4.9","4.9","4.9","4.9","4.9","4.9","4.9","4.9","4.9","4.9","4.9","4.9","4.9","4.9","4.9","4.9"
"1956:Q4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","4.4","5.4","5.4","5.4","5.4","5.4","5.4","5.4","5.4","5.4","5.4","5.4","5.4","5.4","5.4","5.4","5.4","5.4","5.4","5.4","5.4","5.4","5.4","5.4","5.4","5.4","5.4","5.4","5.4","5.4","5.4","5.4","5.4","5.4","5.4","5.4","5.4","5.4","5.4","5.4","5.4","5.4","5.4","5.4","5.4","5.4","5.4","5.4"
"1957:Q1","2.1","2.1","2.1","2.1","2.1","2.1","2.1","2.1","2.1","2.1","2.1","2.1","2.1","2.1","2.1","2.1","2.1","2.1","2.1","2.1","2.1","2.1","2.1","2.1","2.1","2.1","2.1","2.1","2.1","2.1","2.1","2.1","2.1","2.1","2.1","2.1","2.1","2.1","2.1","2.1","2.1","2.1","2.1","2.1","2.1","2.1","2.1","2.1","2.1","2.1","2.1","2.1","2.1","2.1","2.1","2.1","2.1","2.1","2.1","2.1","2.1","2.1","2.1","2.1","2.1","2.1","2.1","2.1","2.1","2.1","2.1","2.1","2.1","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5"
"1957:Q2","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.9","2.9","2.9","2.9","2.9","2.9","2.9","2.9","2.9","2.9","2.9","2.9","2.9","2.9","2.9","2.9","2.9","2.9","2.9","2.9","2.9","2.9","2.9","2.9","2.9","2.9","2.9","2.9","2.9","2.9","2.9","2.9","2.9","2.9","2.9","2.9","2.9","2.9","2.9","2.9","2.9","2.9","2.9","2.9","2.9","2.9","2.9"
"1957:Q3","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.7","3.7","3.7","3.7","3.7","3.7","3.7","3.7","3.7","3.7","3.7","3.7","3.7","3.7","3.7","3.7","3.7","3.7","3.7","3.7","3.7","3.7","3.7","3.7","3.7","3.7","3.7","3.7","3.7","3.7","3.7","3.7","3.7","3.7","3.7","3.7","3.7","3.7","3.7","3.7","3.7","3.7","3.7","3.7","3.7","3.7","3.7"
"1957:Q4","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-2.5","-3.0","-3.0","-3.0","-3.0","-3.0","-3.0","-3.0","-3.0","-3.0","-3.0","-3.0","-3.0","-3.0","-3.0","-3.0","-3.0","-3.0","-3.0","-3.0","-3.0","-3.0","-3.0","-3.0","-3.0","-3.0","-3.0","-3.0","-3.0","-3.0","-3.0","-3.0","-3.0","-3.0","-3.0","-3.0","-3.0","-3.0","-3.0","-3.0","-3.0","-3.0","-3.0","-3.0","-3.0","-3.0","-3.0","-3.0"
"1958:Q1","-5.6","-5.6","-5.6","-5.6","-5.6","-5.6","-5.6","-5.6","-5.6","-5.6","-5.6","-5.6","-5.6","-5.6","-5.6","-5.6","-5.6","-5.6","-5.6","-5.6","-5.6","-5.6","-5.6","-5.6","-5.6","-5.6","-5.6","-5.6","-5.6","-5.6","-5.6","-5.6","-5.6","-5.6","-5.6","-5.6","-5.6","-5.6","-5.6","-5.6","-5.6","-5.6","-5.6","-5.6","-5.6","-5.6","-5.6","-5.6","-5.6","-5.6","-5.6","-5.6","-5.6","-5.6","-5.6","-5.6","-5.6","-5.6","-5.6","-5.6","-5.6","-5.6","-5.6","-5.6","-5.6","-5.6","-5.6","-5.6","-5.6","-5.6","-5.6","-5.6","-5.6","-6.8","-6.8","-6.8","-6.8","-6.8","-6.8","-6.8","-6.8","-6.8","-6.8","-6.8","-6.8","-6.8","-6.8","-6.8","-6.8","-6.8","-6.8","-6.8","-6.8","-6.8","-6.8","-6.8","-6.8","-6.8","-6.8","-6.8","-6.8","-6.8","-6.8","-6.8","-6.8","-6.8","-6.8","-6.8","-6.8","-6.8","-6.8","-6.8","-6.8","-6.8","-6.8","-6.8","-6.8","-6.8","-6.8","-6.8"
